Dates,Top 10 Gross,%± LW,Overall Gross,Releases,#1 Release,Week
Jan 6-12,"$137,624,992 ",-20.20%,"$140,978,878 ",41,Avatar: The Way of Water,1
Jan 13-19,"$142,235,096 ",4.80%,"$147,706,331 ",50,Avatar: The Way of Water,2
Jan 20-26,"$95,033,308 ",-30.60%,"$102,525,798 ",58,Avatar: The Way of Water,3
Jan 27-Feb 2,"$80,874,575 ",-7.30%,"$95,028,163 ",62,Avatar: The Way of Water,4
Feb 3-9,"$89,952,549 ",8.20%,"$102,841,125 ",63,80 for Brady,5
Feb 10-16,"$73,245,180 ",-20.40%,"$81,844,819 ",65,Magic Mike's Last Dance,6
Feb 17-23,"$183,771,488 ",135.90%,"$193,075,332 ",63,Ant-Man and the Wasp: Quantumania,7
