Genre,Total,Titles,#1 Title,Lifetime Gross,Average Per Release
Hawaii,"$1,163,629,231 ",17,Moana,"$248,757,044 ","$68,448,778 "
Chase,"$4,530,526,790 ",67,Captain America: The Winter Soldier,"$259,766,572 ","$67,619,803 "
Epic,"$1,009,680,976 ",15,Gone with the Wind,"$200,882,193 ","$67,312,065 "
Aviation,"$3,169,176,220 ",48,Top Gun: Maverick,"$718,732,821 ","$66,024,505 "
Christmas,"$2,966,170,788 ",45,Iron Man 3,"$409,013,994 ","$65,914,906 "
Christmas Season Event,"$2,966,170,788 ",45,Iron Man 3,"$409,013,994 ","$65,914,906 "
Animal,"$15,657,603,189 ",239,Jurassic World,"$653,406,625 ","$65,512,984 "
TV Show Adaptation,"$12,720,824,723 ",195,Transformers: Revenge of the Fallen,"$402,111,870 ","$65,234,999 "
Creature Feature,"$5,723,623,286 ",88,Jurassic World,"$653,406,625 ","$65,041,174 "
Spy,"$8,609,989,996 ",134,Despicable Me 2,"$368,065,385 ","$64,253,657 "
Virtual Reality,"$1,271,071,885 ",20,The Matrix Reloaded,"$281,576,461 ","$63,553,594 "
Wire-Fu,"$1,715,750,265 ",27,The Matrix Reloaded,"$281,576,461 ","$63,546,306 "
Novel Adaptation,"$1,205,254,718 ",19,The Da Vinci Code,"$217,536,138 ","$63,434,459 "
Contemporary Novel Adaptation,"$1,205,254,718 ",19,The Da Vinci Code,"$217,536,138 ","$63,434,459 "
Buddy Comedy,"$5,543,642,286 ",90,Men in Black,"$250,690,539 ","$61,596,025 "
Werewolf,"$1,758,192,048 ",29,The Twilight Saga: Eclipse,"$300,531,751 ","$60,627,312 "
Controversial,"$3,600,420,110 ",60,The Passion of the Christ,"$370,782,930 ","$60,007,002 "
Las Vegas,"$1,379,324,272 ",23,The Hangover,"$277,339,746 ","$59,970,621 "
Nevada,"$1,379,324,272 ",23,The Hangover,"$277,339,746 ","$59,970,621 "
Boarding School,"$2,277,015,090 ",38,Harry Potter and the Sorcerer's Stone,"$318,886,962 ","$59,921,450 "
Future,"$8,020,374,346 ",135,The Hunger Games: Catching Fire,"$424,668,047 ","$59,410,180 "
Off-Screen Couples On-Screen,"$2,987,977,951 ",52,The Twilight Saga: Eclipse,"$300,531,751 ","$57,461,114 "
Amnesia,"$1,665,258,408 ",29,The Bourne Ultimatum,"$227,471,070 ","$57,422,704 "
Surreal,"$1,410,263,920 ",25,Inside Out,"$356,921,711 ","$56,410,557 "
Style,"$1,410,263,920 ",25,Inside Out,"$356,921,711 ","$56,410,557 "
Desert,"$1,351,427,849 ",24,The Mummy Returns,"$202,019,785 ","$56,309,494 "
California,"$881,400,628 ",16,Beverly Hills Cop,"$234,760,478 ","$55,087,539 "
Los Angeles,"$881,400,628 ",16,Beverly Hills Cop,"$234,760,478 ","$55,087,539 "
Priviledged Character,"$2,644,920,195 ",49,Independence Day,"$306,169,268 ","$53,977,963 "
Environmental Theme,"$484,671,445 ",9,The Day After Tomorrow,"$186,740,799 ","$53,852,383 "
Global Warming,"$484,671,445 ",9,The Day After Tomorrow,"$186,740,799 ","$53,852,383 "
Womanizer,"$1,537,535,413 ",29,Wedding Crashers,"$209,273,411 ","$53,018,463 "
Promiscuous Character,"$1,537,535,413 ",29,Wedding Crashers,"$209,273,411 ","$53,018,463 "
Boston,"$1,297,289,829 ",25,Ted,"$218,815,487 ","$51,891,593 "
Massachusetts,"$1,297,289,829 ",25,Ted,"$218,815,487 ","$51,891,593 "
City,"$1,297,289,829 ",25,Ted,"$218,815,487 ","$51,891,593 "
Remake,"$15,265,157,106 ",296,The Lion King,"$543,638,043 ","$51,571,477 "
Affliction,"$2,866,685,711 ",56,Avatar,"$785,221,649 ","$51,190,816 "
Japan,"$914,501,574 ",18,The Wolverine,"$132,556,852 ","$50,805,643 "
