Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
Jan 1New Year's Day,Saturday,1,"$39,077,865 ",753.60%,-15.60%,26,Spider-Man: No Way Home,"$23,112,936 "
2-Jan,Sunday,2,"$29,043,656 ",-25.70%,-45.10%,25,Spider-Man: No Way Home,"$17,502,959 "
3-Jan,Monday,3,"$13,351,805 ",-54%,-65.90%,21,Spider-Man: No Way Home,"$7,908,732 "
4-Jan,Tuesday,4,"$10,399,690 ",-22.10%,-71.20%,23,Spider-Man: No Way Home,"$5,918,802 "
5-Jan,Wednesday,5,"$7,391,727 ",-28.90%,-78.30%,21,Spider-Man: No Way Home,"$4,383,219 "
6-Jan,Thursday,6,"$6,652,705 ",-10%,-81%,21,Spider-Man: No Way Home,"$3,926,778 "
7-Jan,Friday,7,"$15,938,444 ",139.60%,-42.30%,25,Spider-Man: No Way Home,"$8,303,811 "
8-Jan,Saturday,8,"$27,445,445 ",72.20%,-29.80%,25,Spider-Man: No Way Home,"$14,828,927 "
9-Jan,Sunday,9,"$17,001,522 ",-38.10%,-41.50%,25,Spider-Man: No Way Home,"$9,485,183 "
10-Jan,Monday,10,"$4,307,531 ",-74.70%,-67.70%,24,Spider-Man: No Way Home,"$2,426,248 "
11-Jan,Tuesday,11,"$5,523,488 ",28.20%,-46.90%,24,Spider-Man: No Way Home,"$2,787,987 "
12-Jan,Wednesday,12,"$4,267,099 ",-22.70%,-42.30%,24,Spider-Man: No Way Home,"$2,242,906 "
13-Jan,Thursday,13,"$4,036,084 ",-5.40%,-39.30%,24,Spider-Man: No Way Home,"$2,110,817 "
14-Jan,Friday,14,"$23,615,870 ",485.10%,48.20%,25,Scream,"$13,383,642 "
15-Jan,Saturday,15,"$26,643,760 ",12.80%,-2.90%,25,Scream,"$10,174,839 "
16-Jan,Sunday,16,"$18,091,004 ",-32.10%,6.40%,25,Scream,"$6,460,324 "
Jan 17MLK Day,Monday,17,"$12,918,405 ",-28.60%,199.90%,27,Spider-Man: No Way Home,"$4,555,918 "
18-Jan,Tuesday,18,"$5,518,747 ",-57.30%,<0.1%,23,Scream,"$2,062,118 "
19-Jan,Wednesday,19,"$4,238,977 ",-23.20%,-0.70%,23,Scream,"$1,554,567 "
20-Jan,Thursday,20,"$4,136,041 ",-2.40%,2.50%,23,Scream,"$1,475,633 "
21-Jan,Friday,21,"$11,971,522 ",189.40%,-49.30%,28,Scream,"$3,701,908 "
22-Jan,Saturday,22,"$19,057,819 ",59.20%,-28.50%,28,Spider-Man: No Way Home,"$6,518,119 "
23-Jan,Sunday,23,"$11,186,399 ",-41.30%,-38.20%,28,Spider-Man: No Way Home,"$3,995,155 "
24-Jan,Monday,24,"$3,015,763 ",-73%,-76.70%,27,Spider-Man: No Way Home,"$973,653 "
25-Jan,Tuesday,25,"$3,803,445 ",26.10%,-31.10%,27,Spider-Man: No Way Home,"$1,121,804 "
26-Jan,Wednesday,26,"$2,999,432 ",-21.10%,-29.20%,29,Spider-Man: No Way Home,"$938,951 "
27-Jan,Thursday,27,"$3,105,148 ",3.50%,-24.90%,28,Spider-Man: No Way Home,"$960,270 "
