Rank,Title,Lifetime Gross,Overall Rank,Year,MPA Rating
107,The Black Stallion,"$37,799,643 ","2,354",1979,G
108,Song of the South,"$37,459,346 ","2,376",1980,G
109,The Wild,"$37,384,046 ","2,380",2006,G
110,The Apple Dumpling Gang,"$36,853,000 ","2,408",1975,G
111,Recess: School's Out,"$36,706,141 ","2,419",2001,G
112,Under the Sea 3D,"$36,262,926 ","2,449",2009,G
113,The Aristocats,"$35,452,658 ","2,491",1980,G
114,A Goofy Movie,"$35,348,597 ","2,502",1995,G
115,Muppet Treasure Island,"$34,327,391 ","2,566",1996,G
116,Mr. Bean's Holiday,"$33,302,167 ","2,628",2007,G
117,Giant,"$32,855,818 ","2,656",1956,G
118,Homeward Bound II: Lost in San Francisco,"$32,772,492 ","2,658",1996,G
119,Planet of the Apes,"$32,589,624 ","2,676",1968,G
120,Mr. Magorium's Wonder Emporium,"$32,061,555 ","2,716",2007,G
121,Earth,"$32,011,576 ","2,721",2009,G
122,The Great Muppet Caper,"$31,206,251 ","2,777",1981,G
123,The Secret Garden,"$31,181,347 ","2,781",1993,G
124,Space Chimps,"$30,105,968 ","2,859",2008,G
125,Herbie Goes to Monte Carlo,"$29,000,000 ","2,920",1977,G
126,Chimpanzee,"$28,972,764 ","2,921",2012,G
127,The Rescuers Down Under,"$27,931,461 ","2,981",1990,G
128,The Muppet Christmas Carol,"$27,381,507 ","3,016",1992,G
129,All Dogs Go to Heaven,"$27,100,027 ","3,035",1989,G
130,That's Entertainment!,"$26,890,200 ","3,049",1974,G
131,Winnie the Pooh,"$26,692,846 ","3,066",2011,G
132,Ramona and Beezus,"$26,167,002 ","3,103",2010,G
133,Born to Be Wild,"$25,978,556 ","3,116",2011,G
134,Freaky Friday,"$25,942,000 ","3,117",1977,G
135,Jonah: A VeggieTales Movie,"$25,581,229 ","3,154",2002,G
136,The Muppets Take Manhattan,"$25,534,703 ","3,159",1984,G
137,The Wizard of Oz,"$24,668,669 ","3,238",1939,G
138,FernGully: The Last Rainforest,"$24,650,296 ","3,240",1992,G
139,Ice Princess,"$24,402,491 ","3,254",2005,G
140,Piglet's Big Movie,"$23,103,423 ","3,342",2003,G
141,The Care Bears Movie,"$22,934,622 ","3,357",1985,G
142,Quest for Camelot,"$22,510,798 ","3,394",1998,G
143,Benji the Hunted,"$22,257,624 ","3,418",1987,G
144,An American Tail: Fievel Goes West,"$22,166,041 ","3,431",1991,G
145,Gus,"$21,873,000 ","3,448",1976,G
146,The King and I,"$21,300,000 ","3,514",1956,G
147,The Wiz,"$21,049,053 ","3,545",1978,G
148,The Apple Dumpling Gang Rides Again,"$20,931,111 ","3,561",1979,G
149,Jetsons: The Movie,"$20,305,841 ","3,622",1990,G
150,Escape to Witch Mountain,"$20,000,000 ","3,665",1975,G
151,The Secret World of Arrietty,"$19,587,032 ","3,700",2012,G
152,Valiant,"$19,478,106 ","3,708",2005,G
153,Doug's 1st Movie,"$19,440,089 ","3,713",1999,G
154,Oceans,"$19,422,319 ","3,715",2010,G
155,Jonas Brothers: The 3D Concert Experience,"$19,162,740 ","3,737",2009,G
156,Beneath the Planet of the Apes,"$18,999,718 ","3,754",1970,G
157,Thrill Ride: The Science of Fun,"$18,798,590 ","3,773",1997,G
158,Prancer,"$18,587,135 ","3,801",1989,G
159,DuckTales the Movie: Treasure of the Lost Lamp,"$18,115,724 ","3,842",1990,G
160,Pooh's Heffalump Movie,"$18,098,433 ","3,843",2005,G
161,Herbie Goes Bananas,"$18,000,000 ","3,849",1980,G
162,Bears,"$17,780,194 ","3,872",2014,G
163,For the Love of Benji,"$17,732,000 ","3,881",1977,G
164,Kit Kittredge: An American Girl,"$17,657,973 ","3,888",2008,G
165,Pokémon 3 the Movie: Spell of the Unown,"$17,052,128 ","3,979",2001,G
166,Ghosts of the Abyss,"$17,040,871 ","3,981",2003,G
167,The Country Bears,"$16,990,825 ","3,991",2002,G
168,Muppets from Space,"$16,625,807 ","4,030",1999,G
169,Monkey Kingdom,"$16,432,322 ","4,046",2015,G
170,Return from Witch Mountain,"$16,393,000 ","4,049",1978,G
171,Across the Sea of Time,"$16,015,639 ","4,102",1995,G
172,Thomas and the Magic Railroad,"$15,933,506 ","4,115",2000,G
173,Ponyo,"$15,743,471 ","4,130",2009,G
174,A Beautiful Planet,"$15,650,615 ","4,143",2016,G
175,Cirque du Soleil: Journey of Man,"$15,627,434 ","4,146",2000,G
176,African Cats,"$15,428,747 ","4,178",2011,G
177,The Adventures of Pinocchio,"$15,094,530 ","4,217",1996,G
178,Wings of Courage,"$15,054,636 ","4,224",1995,G
179,All I Want for Christmas,"$14,812,144 ","4,265",1991,G
180,The Secret of NIMH,"$14,665,733 ","4,288",1982,G
181,To the Arctic 3D,"$14,560,838 ","4,300",2012,G
182,Everyone's Hero,"$14,523,101 ","4,306",2006,G
183,On a Clear Day You Can See Forever,"$14,000,000 ","4,390",1970,G
184,Follow That Bird,"$13,961,370 ","4,397",1985,G
185,Born in China,"$13,873,211 ","4,406",2017,G
186,Fly Me to the Moon 3D,"$13,816,982 ","4,414",2008,G
187,One Magic Christmas,"$13,677,222 ","4,432",1985,G
188,The Pagemaster,"$13,670,688 ","4,434",1994,G
189,The Adventures of Milo and Otis,"$13,299,749 ","4,481",1989,G
190,The Pirates Who Don't Do Anything,"$12,981,269 ","4,537",2008,G
191,Escape from the Planet of the Apes,"$12,348,905 ","4,626",1971,G
192,Barney's Great Adventure,"$12,218,638 ","4,648",1998,G
193,The Sword in the Stone,"$12,000,000 ","4,676",1983,G
194,The King and I,"$11,993,021 ","4,679",1999,G
195,Winged Migration,"$11,689,053 ","4,713",2002,G
196,The Adventures of Elmo in Grouchland,"$11,683,047 ","4,715",1999,G
197,Rock-A-Doodle,"$11,657,385 ","4,719",1992,G
198,Thumbelina,"$11,373,501 ","4,765",1994,G
199,Balto,"$11,348,324 ","4,769",1995,G
200,Island of Lemurs: Madagascar,"$11,272,213 ","4,785",2014,G
