Rank,Title,Lifetime Gross,Overall Rank,Year,MPA Rate
64,The Twilight Saga: Eclipse,"$300,531,751 ",98,2010,PG-13
65,The Twilight Saga: New Moon,"$297,816,253 ",99,2009,PG-13
66,Harry Potter and the Deathly Hallows: Part 1,"$296,374,621 ",100,2010,PG-13
67,The Sixth Sense,"$293,506,292 ",101,1999,PG-13
68,Inception,"$292,587,330 ",104,2010,PG-13
69,Harry Potter and the Order of the Phoenix,"$292,382,727 ",105,2007,PG-13
70,The Twilight Saga: Breaking Dawn - Part 2,"$292,324,737 ",106,2012,PG-13
71,Man of Steel,"$291,045,518 ",108,2013,PG-13
72,Harry Potter and the Goblet of Fire,"$290,469,928 ",110,2005,PG-13
73,The Hunger Games: Mockingjay - Part 2,"$281,723,902 ",112,2015,PG-13
74,The Twilight Saga: Breaking Dawn - Part 1,"$281,287,133 ",114,2011,PG-13
75,Meet the Fockers,"$279,261,160 ",115,2004,PG-13
76,Gravity,"$274,092,705 ",117,2013,PG-13
77,The Amazing Spider-Man,"$262,030,663 ",125,2012,PG-13
78,Captain America: The Winter Soldier,"$259,766,572 ",128,2014,PG-13
79,The Hobbit: The Desolation of Smaug,"$258,387,334 ",129,2013,PG-13
80,Star Trek,"$257,730,019 ",131,2009,PG-13
81,I Am Legend,"$256,393,010 ",132,2007,PG-13
82,The Blind Side,"$255,982,860 ",133,2009,PG-13
83,The Hobbit: The Battle of the Five Armies,"$255,138,261 ",134,2014,PG-13
84,Batman,"$251,409,241 ",137,1989,PG-13
85,Men in Black,"$250,690,539 ",139,1997,PG-13
86,Transformers: Age of Extinction,"$245,439,076 ",144,2014,PG-13
87,Bruce Almighty,"$242,829,261 ",147,2003,PG-13
88,Twister,"$241,830,615 ",148,1996,PG-13
89,Pirates of the Caribbean: On Stranger Tides,"$241,071,802 ",151,2011,PG-13
90,Fast & Furious 6,"$238,679,850 ",153,2013,PG-13
91,X-Men: The Last Stand,"$234,362,462 ",157,2006,PG-13
92,War of the Worlds,"$234,280,354 ",158,2005,PG-13
93,Fantastic Beasts and Where to Find Them,"$234,037,575 ",159,2016,PG-13
94,X-Men: Days of Future Past,"$233,921,534 ",160,2014,PG-13
95,Cast Away,"$233,632,142 ",161,2000,PG-13
96,Doctor Strange,"$232,641,920 ",163,2016,PG-13
97,The Lost World: Jurassic Park,"$229,086,679 ",164,1997,PG-13
98,Justice League,"$229,024,295 ",165,2017,PG-13
99,Star Trek Into Darkness,"$228,778,661 ",166,2013,PG-13
100,The Martian,"$228,433,663 ",167,2015,PG-13
101,Signs,"$227,966,634 ",168,2002,PG-13
102,Hancock,"$227,946,274 ",169,2008,PG-13
103,The Bourne Ultimatum,"$227,471,070 ",170,2007,PG-13
104,Rush Hour 2,"$226,164,286 ",172,2001,PG-13
105,The Fate of the Furious,"$226,008,385 ",173,2017,PG-13
106,Shang-Chi and the Legend of the Ten Rings,"$224,543,292 ",174,2021,PG-13
107,Mission: Impossible - Fallout,"$220,159,104 ",178,2018,PG-13
108,Mrs. Doubtfire,"$219,195,243 ",181,1993,PG-13
109,King Kong,"$218,080,025 ",184,2005,PG-13
110,Ghost,"$217,631,306 ",185,1990,PG-13
111,The Da Vinci Code,"$217,536,138 ",187,2006,PG-13
112,Bohemian Rhapsody,"$216,668,042 ",191,2018,PG-13
113,Ant-Man and the Wasp,"$216,648,740 ",192,2018,PG-13
114,Mission: Impossible II,"$215,409,889 ",195,2000,PG-13
115,X2: X-Men United,"$214,949,694 ",197,2003,PG-13
116,Solo: A Star Wars Story,"$213,767,512 ",199,2018,PG-13
117,Venom: Let There Be Carnage,"$213,550,366 ",200,2021,PG-13
118,Venom,"$213,515,506 ",201,2018,PG-13
119,Austin Powers in Goldmember,"$213,307,889 ",202,2002,PG-13
120,Fast Five,"$209,837,675 ",207,2011,PG-13
121,Mission: Impossible - Ghost Protocol,"$209,397,903 ",208,2011,PG-13
122,Sherlock Holmes,"$209,028,679 ",210,2009,PG-13
123,Dawn of the Planet of the Apes,"$208,545,589 ",211,2014,PG-13
124,Batman Begins,"$206,863,479 ",212,2005,PG-13
125,Thor: The Dark World,"$206,362,140 ",215,2013,PG-13
126,Austin Powers: The Spy Who Shagged Me,"$206,040,086 ",217,1999,PG-13
127,The Amazing Spider-Man 2,"$202,853,933 ",219,2014,PG-13
128,World War Z,"$202,807,711 ",220,2013,PG-13
129,The Mummy Returns,"$202,019,785 ",221,2001,PG-13
130,Armageddon,"$201,578,182 ",222,1998,PG-13
131,Godzilla,"$200,676,069 ",227,2014,PG-13
132,Superman Returns,"$200,081,192 ",228,2006,PG-13
133,Spectre,"$200,074,609 ",229,2015,PG-13
134,Pearl Harbor,"$198,542,554 ",230,2001,PG-13
135,Indiana Jones and the Last Crusade,"$197,171,806 ",233,1989,PG-13
136,Mission: Impossible - Rogue Nation,"$195,042,377 ",236,2015,PG-13
137,Twilight,"$193,962,473 ",237,2008,PG-13
138,Men in Black II,"$193,735,288 ",238,2002,PG-13
139,Teenage Mutant Ninja Turtles,"$191,204,754 ",242,2014,PG-13
140,Dunkirk,"$189,740,665 ",246,2017,PG-13
141,A Quiet Place,"$188,024,361 ",249,2018,PG-13
142,Interstellar,"$188,020,017 ",250,2014,PG-13
143,Sherlock Holmes: A Game of Shadows,"$186,848,418 ",253,2011,PG-13
144,The Day After Tomorrow,"$186,740,799 ",254,2004,PG-13
145,Mr. & Mrs. Smith,"$186,336,279 ",255,2005,PG-13
146,Pitch Perfect 2,"$184,296,230 ",257,2015,PG-13
147,Dances with Wolves,"$184,208,848 ",258,1990,PG-13
148,Batman Forever,"$184,069,126 ",259,1995,PG-13
149,The Fugitive,"$183,875,760 ",260,1993,PG-13
150,Black Widow,"$183,651,655 ",261,2021,PG-13
151,Ocean's Eleven,"$183,417,150 ",263,2001,PG-13
152,The Simpsons Movie,"$183,135,014 ",264,2007,PG-13
153,What Women Want,"$182,811,707 ",265,2000,PG-13
154,The Perfect Storm,"$182,618,434 ",266,2000,PG-13
155,Lincoln,"$182,207,973 ",267,2012,PG-13
156,Liar Liar,"$181,410,615 ",268,1997,PG-13
157,Jurassic Park III,"$181,171,875 ",269,2001,PG-13
158,Thor,"$181,030,624 ",270,2011,PG-13
159,Mission: Impossible,"$180,981,856 ",271,1996,PG-13
160,Ant-Man,"$180,202,163 ",273,2015,PG-13
161,Planet of the Apes,"$180,011,740 ",274,2001,PG-13
162,X-Men Origins: Wolverine,"$179,883,157 ",276,2009,PG-13
163,Hitch,"$179,495,555 ",278,2005,PG-13
164,Men in Black 3,"$179,020,854 ",279,2012,PG-13
165,Rise of the Planet of the Apes,"$176,760,185 ",286,2011,PG-13
166,Captain America: The First Avenger,"$176,654,505 ",287,2011,PG-13
167,The Bourne Supremacy,"$176,241,941 ",291,2004,PG-13
168,Crazy Rich Asians,"$174,837,452 ",296,2018,PG-13
169,Crocodile Dundee,"$174,803,506 ",297,1986,PG-13
170,Fast & Furious Presents: Hobbs & Shaw,"$173,956,935 ",299,2019,PG-13
171,F9: The Fast Saga,"$173,005,945 ",304,2021,PG-13
172,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876 ",307,2017,PG-13
173,True Grit,"$171,243,005 ",311,2010,PG-13
174,A Beautiful Mind,"$170,742,341 ",314,2001,PG-13
175,Chicago,"$170,687,518 ",315,2002,PG-13
176,The Help,"$169,708,112 ",316,2011,PG-13
177,Quantum of Solace,"$168,368,427 ",320,2008,PG-13
178,Wild Hogs,"$168,273,550 ",321,2007,PG-13
179,Black Adam,"$168,152,111 ",322,2022,PG-13
180,Kong: Skull Island,"$168,052,812 ",323,2017,PG-13
181,Casino Royale,"$167,445,960 ",327,2006,PG-13
182,Ant-Man and the Wasp: Quantumania,"$167,314,584 ",328,2023,PG-13
183,Meet the Parents,"$166,244,045 ",329,2000,PG-13
184,2012,"$166,112,167 ",331,2009,PG-13
185,Robin Hood: Prince of Thieves,"$165,493,908 ",332,1991,PG-13
186,Knives Out,"$165,363,234 ",333,2019,PG-13
187,Eternals,"$164,870,234 ",336,2021,PG-13
188,Catch Me If You Can,"$164,615,351 ",337,2002,PG-13
189,The Proposal,"$163,958,031 ",338,2009,PG-13
190,The Pursuit of Happyness,"$163,566,459 ",339,2006,PG-13
191,Big Daddy,"$163,479,795 ",340,1999,PG-13
192,Clash of the Titans,"$163,214,888 ",341,2010,PG-13
193,Batman Returns,"$162,924,631 ",343,1992,PG-13
194,Jason Bourne,"$162,434,410 ",347,2016,PG-13
195,Grown Ups,"$162,001,186 ",348,2010,PG-13
196,The Waterboy,"$161,491,646 ",349,1998,PG-13
197,Die Another Day,"$160,942,139 ",353,2002,PG-13
198,No Time to Die,"$160,891,007 ",354,2021,PG-13
199,A Quiet Place Part II,"$160,072,261 ",356,2021,PG-13
200,Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901 ",358,2018,PG-13
