Rank,Title,Lifetime Gross,Overall Rank,Year,MPA Rate
1,Star Wars: Episode VII - The Force Awakens,"$936,662,225 ",1,2015,PG-13
2,Avengers: Endgame,"$858,373,000 ",2,2019,PG-13
3,Spider-Man: No Way Home,"$814,115,070 ",3,2021,PG-13
4,Avatar,"$785,221,649 ",4,2009,PG-13
5,Top Gun: Maverick,"$718,732,821 ",5,2022,PG-13
6,Black Panther,"$700,426,566 ",6,2018,PG-13
7,Avengers: Infinity War,"$678,815,482 ",7,2018,PG-13
8,Titanic,"$673,830,512 ",8,1997,PG-13
9,Avatar: The Way of Water,"$665,383,862 ",9,2022,PG-13
10,Jurassic World,"$653,406,625 ",10,2015,PG-13
11,The Avengers,"$623,357,910 ",11,2012,PG-13
12,Star Wars: Episode VIII - The Last Jedi,"$620,181,382 ",12,2017,PG-13
13,The Dark Knight,"$534,987,076 ",15,2008,PG-13
14,Rogue One: A Star Wars Story,"$533,539,991 ",16,2016,PG-13
15,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542 ",17,2019,PG-13
16,Avengers: Age of Ultron,"$459,005,868 ",23,2015,PG-13
17,Black Panther: Wakanda Forever,"$453,785,634 ",24,2022,PG-13
18,The Dark Knight Rises,"$448,149,584 ",25,2012,PG-13
19,Captain Marvel,"$426,829,839 ",29,2019,PG-13
20,The Hunger Games: Catching Fire,"$424,668,047 ",30,2013,PG-13
21,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812 ",31,2006,PG-13
22,Jurassic World: Fallen Kingdom,"$417,719,760 ",33,2018,PG-13
23,Wonder Woman,"$412,845,172 ",35,2017,PG-13
24,Doctor Strange in the Multiverse of Madness,"$411,331,607 ",36,2022,PG-13
25,Iron Man 3,"$409,013,994 ",37,2013,PG-13
26,Captain America: Civil War,"$408,084,349 ",38,2016,PG-13
27,The Hunger Games,"$408,010,692 ",39,2012,PG-13
28,Spider-Man,"$407,022,860 ",40,2002,PG-13
29,Jumanji: Welcome to the Jungle,"$404,540,171 ",41,2017,PG-13
30,Jurassic Park,"$404,214,720 ",42,1993,PG-13
31,Transformers: Revenge of the Fallen,"$402,111,870 ",43,2009,PG-13
32,Spider-Man: Far from Home,"$390,532,085 ",45,2019,PG-13
33,Guardians of the Galaxy Vol. 2,"$389,813,101 ",46,2017,PG-13
34,Harry Potter and the Deathly Hallows: Part 2,"$381,447,587 ",47,2011,PG-13
35,Star Wars: Episode III - Revenge of the Sith,"$380,270,577 ",49,2005,PG-13
36,The Lord of the Rings: The Return of the King,"$378,251,207 ",50,2003,PG-13
37,Jurassic World: Dominion,"$376,851,080 ",51,2022,PG-13
38,Spider-Man 2,"$373,585,825 ",52,2004,PG-13
39,The Batman,"$369,345,583 ",55,2022,PG-13
40,Furious 7,"$353,007,020 ",62,2015,PG-13
41,Transformers: Dark of the Moon,"$352,390,543 ",63,2011,PG-13
42,Thor: Love and Thunder,"$343,256,830 ",65,2022,PG-13
43,The Lord of the Rings: The Two Towers,"$342,952,511 ",66,2002,PG-13
44,The Hunger Games: Mockingjay - Part 1,"$337,135,885 ",68,2014,PG-13
45,Spider-Man 3,"$336,530,303 ",69,2007,PG-13
46,Aquaman,"$335,104,314 ",72,2018,PG-13
47,Spider-Man: Homecoming,"$334,201,140 ",73,2017,PG-13
48,Guardians of the Galaxy,"$333,718,600 ",75,2014,PG-13
49,Forrest Gump,"$330,455,270 ",76,1994,PG-13
50,Batman v Superman: Dawn of Justice,"$330,360,194 ",77,2016,PG-13
51,Suicide Squad,"$325,100,054 ",79,2016,PG-13
52,Jumanji: The Next Level,"$320,314,960 ",82,2019,PG-13
53,Transformers,"$319,246,193 ",83,2007,PG-13
54,Iron Man,"$319,034,126 ",84,2008,PG-13
55,Indiana Jones and the Kingdom of the Crystal Skull,"$317,101,119 ",86,2008,PG-13
56,The Lord of the Rings: The Fellowship of the Ring,"$316,115,420 ",87,2001,PG-13
57,Thor: Ragnarok,"$315,058,289 ",88,2017,PG-13
58,Iron Man 2,"$312,433,331 ",89,2010,PG-13
59,Pirates of the Caribbean: At World's End,"$309,420,425 ",91,2007,PG-13
60,Independence Day,"$306,169,268 ",93,1996,PG-13
61,Pirates of the Caribbean: The Curse of the Black Pearl,"$305,413,918 ",94,2003,PG-13
62,Skyfall,"$304,360,277 ",95,2012,PG-13
63,The Hobbit: An Unexpected Journey,"$303,030,651 ",96,2012,PG-13
