Rank,Title,Lifetime Gross,Year
1,Star Wars: Episode VII - The Force Awakens,"$936,662,225 ",2015
2,Avengers: Endgame,"$858,373,000 ",2019
3,Spider-Man: No Way Home,"$814,115,070 ",2021
4,Avatar,"$785,221,649 ",2009
5,Top Gun: Maverick,"$718,732,821 ",2022
6,Black Panther,"$700,426,566 ",2018
7,Avengers: Infinity War,"$678,815,482 ",2018
8,Titanic,"$673,830,512 ",1997
9,Avatar: The Way of Water,"$665,383,862 ",2022
10,Jurassic World,"$653,406,625 ",2015
11,The Avengers,"$623,357,910 ",2012
12,Star Wars: Episode VIII - The Last Jedi,"$620,181,382 ",2017
13,Incredibles 2,"$608,581,744 ",2018
14,The Lion King,"$543,638,043 ",2019
15,The Dark Knight,"$534,987,076 ",2008
16,Rogue One: A Star Wars Story,"$533,539,991 ",2016
17,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542 ",2019
18,Beauty and the Beast,"$504,481,165 ",2017
19,Finding Dory,"$486,295,561 ",2016
20,Frozen II,"$477,373,578 ",2019
21,Star Wars: Episode I - The Phantom Menace,"$474,544,677 ",1999
22,Star Wars: Episode IV - A New Hope,"$460,998,507 ",1977
23,Avengers: Age of Ultron,"$459,005,868 ",2015
24,Black Panther: Wakanda Forever,"$453,785,634 ",2022
25,The Dark Knight Rises,"$448,149,584 ",2012
26,Shrek 2,"$441,226,247 ",2004
27,E.T. the Extra-Terrestrial,"$437,141,279 ",1982
28,Toy Story 4,"$434,038,008 ",2019
29,Captain Marvel,"$426,829,839 ",2019
30,The Hunger Games: Catching Fire,"$424,668,047 ",2013
31,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812 ",2006
32,The Lion King,"$422,783,777 ",1994
33,Jurassic World: Fallen Kingdom,"$417,719,760 ",2018
34,Toy Story 3,"$415,004,880 ",2010
35,Wonder Woman,"$412,845,172 ",2017
36,Doctor Strange in the Multiverse of Madness,"$411,331,607 ",2022
37,Iron Man 3,"$409,013,994 ",2013
38,Captain America: Civil War,"$408,084,349 ",2016
39,The Hunger Games,"$408,010,692 ",2012
40,Spider-Man,"$407,022,860 ",2002
41,Jumanji: Welcome to the Jungle,"$404,540,171 ",2017
42,Jurassic Park,"$404,214,720 ",1993
43,Transformers: Revenge of the Fallen,"$402,111,870 ",2009
44,Frozen,"$400,953,009 ",2013
45,Spider-Man: Far from Home,"$390,532,085 ",2019
46,Guardians of the Galaxy Vol. 2,"$389,813,101 ",2017
47,Harry Potter and the Deathly Hallows: Part 2,"$381,447,587 ",2011
48,Finding Nemo,"$380,843,261 ",2003
49,Star Wars: Episode III - Revenge of the Sith,"$380,270,577 ",2005
50,The Lord of the Rings: The Return of the King,"$378,251,207 ",2003
51,Jurassic World: Dominion,"$376,851,080 ",2022
52,Spider-Man 2,"$373,585,825 ",2004
53,The Passion of the Christ,"$370,782,930 ",2004
54,Minions: The Rise of Gru,"$369,695,210 ",2022
55,The Batman,"$369,345,583 ",2022
56,The Secret Life of Pets,"$368,384,330 ",2016
57,Despicable Me 2,"$368,065,385 ",2013
58,The Jungle Book,"$364,001,123 ",2016
59,Deadpool,"$363,070,709 ",2016
60,Inside Out,"$356,921,711 ",2015
61,Aladdin,"$355,559,216 ",2019
62,Furious 7,"$353,007,020 ",2015
63,Transformers: Dark of the Moon,"$352,390,543 ",2011
64,American Sniper,"$350,159,020 ",2014
65,Thor: Love and Thunder,"$343,256,830 ",2022
66,The Lord of the Rings: The Two Towers,"$342,952,511 ",2002
67,Zootopia,"$341,268,248 ",2016
68,The Hunger Games: Mockingjay - Part 1,"$337,135,885 ",2014
69,Spider-Man 3,"$336,530,303 ",2007
