Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
76,Moana,"$248,757,044","3,875","$56,631,401","3,875","Nov 23, 2016",Walt Disney Studios Motion Pictures
77,Bruce Almighty,"$242,829,261","3,549","$67,953,330","3,483","May 23, 2003",Universal Pictures
78,Maleficent,"$241,410,378","3,948","$69,431,298","3,948","May 30, 2014",Walt Disney Studios Motion Pictures
79,Shrek Forever After,"$238,736,787","4,386","$70,838,207","4,359","May 21, 2010",DreamWorks
80,Brave,"$237,283,207","4,164","$66,323,594","4,164","Jun 22, 2012",Walt Disney Studios Motion Pictures
81,Oz the Great and Powerful,"$234,911,825","3,912","$79,110,453","3,912","Mar 8, 2013",Walt Disney Studios Motion Pictures
82,X-Men: The Last Stand,"$234,362,462","3,714","$102,750,665","3,690","May 26, 2006",Twentieth Century Fox
83,Fantastic Beasts and Where to Find Them,"$234,037,575","4,144","$74,403,387","4,144","Nov 18, 2016",Warner Bros.
84,X-Men: Days of Future Past,"$233,921,534","4,001","$90,823,660","3,996","May 23, 2014",Twentieth Century Fox
85,Doctor Strange,"$232,641,920","3,882","$85,058,311","3,882","Nov 4, 2016",Walt Disney Studios Motion Pictures
86,Justice League,"$229,024,295","4,051","$93,842,239","4,051","Nov 17, 2017",Warner Bros.
87,Hancock,"$227,946,274","3,965","$62,603,879","3,965","Jul 2, 2008",Sony Pictures Entertainment (SPE)
88,Logan,"$226,277,068","4,071","$88,411,916","4,071","Mar 3, 2017",Twentieth Century Fox
89,Shang-Chi and the Legend of the Ten Rings,"$224,543,292","4,300","$75,388,688","4,300","Sep 3, 2021",Walt Disney Studios Motion Pictures
90,Big Hero 6,"$222,527,828","3,773","$56,215,889","3,761","Nov 7, 2014",Walt Disney Studios Motion Pictures
91,Ted,"$218,815,487","3,303","$54,415,205","3,239","Jun 29, 2012",Universal Pictures
92,Ghost,"$217,631,306","1,766","$12,191,540","1,101","Jul 13, 1990",Paramount Pictures
93,How to Train Your Dragon,"$217,581,231","4,060","$43,732,319","4,055","Mar 26, 2010",DreamWorks
94,Aladdin,"$217,350,219","2,331","$196,664",2,"Nov 13, 1992",Walt Disney Studios Motion Pictures
95,Ant-Man and the Wasp,"$216,648,740","4,206","$75,812,205","4,206","Jul 6, 2018",Walt Disney Studios Motion Pictures
96,X2: X-Men United,"$214,949,694","3,749","$85,558,731","3,741","May 2, 2003",Twentieth Century Fox
97,Venom: Let There Be Carnage,"$213,550,366","4,225","$90,033,210","4,225","Oct 1, 2021",Sony Pictures Entertainment (SPE)
98,Venom,"$213,515,506","4,250","$80,255,756","4,250","Oct 5, 2018",Sony Pictures Entertainment (SPE)
99,It Chapter Two,"$211,593,228","4,570","$91,062,152","4,570","Sep 6, 2019",Warner Bros.
100,Coco,"$210,460,015","3,987","$50,802,605","3,987","Nov 22, 2017",Walt Disney Studios Motion Pictures
