Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
1,Star Wars: Episode VII - The Force Awakens,"$936,662,225","4,134","$247,966,675","4,134","Dec 18, 2015",Walt Disney Studios Motion Pictures
2,Avengers: Endgame,"$858,373,000","4,662","$357,115,007","4,662","Apr 26, 2019",Walt Disney Studios Motion Pictures
3,Spider-Man: No Way Home,"$804,793,477","4,336","$260,138,569","4,336","Dec 17, 2021",Sony Pictures Entertainment (SPE)
4,Black Panther,"$700,059,566","4,084","$202,003,951","4,020","Feb 16, 2018",Walt Disney Studios Motion Pictures
5,Avengers: Infinity War,"$678,815,482","4,474","$257,698,183","4,474","Apr 27, 2018",Walt Disney Studios Motion Pictures
6,The Avengers,"$623,357,910","4,349","$207,438,708","4,349","May 4, 2012",Walt Disney Studios Motion Pictures
7,Star Wars: Episode VIII - The Last Jedi,"$620,181,382","4,232","$220,009,584","4,232","Dec 15, 2017",Walt Disney Studios Motion Pictures
8,Incredibles 2,"$608,581,744","4,410","$182,687,905","4,410","Jun 15, 2018",Walt Disney Studios Motion Pictures
9,The Dark Knight,"$533,345,358","4,366","$158,411,483","4,366","Jul 18, 2008",Warner Bros.
10,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542","4,406","$177,383,864","4,406","Dec 20, 2019",Walt Disney Studios Motion Pictures
11,Beauty and the Beast,"$504,014,165","4,210","$174,750,616","4,210","Mar 17, 2017",Walt Disney Studios Motion Pictures
12,Avengers: Age of Ultron,"$459,005,868","4,276","$191,271,109","4,276","May 1, 2015",Walt Disney Studios Motion Pictures
13,Black Panther: Wakanda Forever,"$453,251,600","4,396","$181,339,761","4,396","Nov 11, 2022",Walt Disney Studios Motion Pictures
14,The Dark Knight Rises,"$448,139,099","4,404","$160,887,295","4,404","Jul 20, 2012",Warner Bros.
15,Shrek 2,"$441,226,247","4,223","$108,037,878","4,163","May 19, 2004",DreamWorks Distribution
16,Star Wars: Episode I - The Phantom Menace,"$431,088,295","3,126","$64,820,970","2,970","May 19, 1999",Twentieth Century Fox
17,Captain Marvel,"$426,829,839","4,310","$153,433,423","4,310","Mar 8, 2019",Walt Disney Studios Motion Pictures
18,Wonder Woman,"$412,563,408","4,165","$103,251,471","4,165","Jun 2, 2017",Warner Bros.
19,Doctor Strange in the Multiverse of Madness,"$411,331,607","4,534","$187,420,998","4,534","May 6, 2022",Walt Disney Studios Motion Pictures
20,Iron Man 3,"$409,013,994","4,253","$174,144,585","4,253","May 3, 2013",Walt Disney Studios Motion Pictures
21,Captain America: Civil War,"$408,084,349","4,226","$179,139,142","4,226","May 6, 2016",Walt Disney Studios Motion Pictures
22,Spider-Man,"$403,706,375","3,876","$114,844,116","3,615","May 3, 2002",Sony Pictures Entertainment (SPE)
23,Frozen,"$400,738,009","3,742","$243,390",1,"Nov 22, 2013",Walt Disney Studios Motion Pictures
24,Spider-Man: Far from Home,"$390,532,085","4,634","$92,579,212","4,634","Jul 2, 2019",Sony Pictures Entertainment (SPE)
25,Guardians of the Galaxy Vol. 2,"$389,813,101","4,347","$146,510,104","4,347","May 5, 2017",Walt Disney Studios Motion Pictures
26,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219","4,375","$169,189,427","4,375","Jul 15, 2011",Warner Bros.
27,Star Wars: Episode III - Revenge of the Sith,"$380,270,577","3,663","$108,435,841","3,661","May 19, 2005",Twentieth Century Fox
28,The Lord of the Rings: The Return of the King,"$377,027,325","3,703","$72,629,713","3,703","Dec 17, 2003",New Line Cinema
29,Spider-Man 2,"$373,585,825","4,166","$88,156,227","4,152","Jun 30, 2004",Sony Pictures Entertainment (SPE)
30,The Passion of the Christ,"$370,274,604","3,408","$83,848,082","3,043","Feb 25, 2004",Newmarket Films
31,The Batman,"$369,345,583","4,417","$134,008,624","4,417","Mar 4, 2022",Warner Bros.
32,Deadpool,"$363,070,709","3,856","$132,434,639","3,558","Feb 12, 2016",Twentieth Century Fox
33,Aladdin,"$355,559,216","4,476","$91,500,929","4,476","May 24, 2019",Walt Disney Studios Motion Pictures
34,Thor: Love and Thunder,"$343,256,830","4,375","$144,165,107","4,375","Jul 8, 2022",Walt Disney Studios Motion Pictures
35,The Lord of the Rings: The Two Towers,"$339,789,881","3,622","$62,007,528","3,622","Dec 18, 2002",New Line Cinema
36,Spider-Man 3,"$336,530,303","4,324","$151,116,516","4,252","May 4, 2007",Sony Pictures Entertainment (SPE)
37,Aquaman,"$335,061,807","4,184","$67,873,522","4,125","Dec 21, 2018",Warner Bros.
38,Spider-Man: Homecoming,"$334,201,140","4,348","$117,027,503","4,348","Jul 7, 2017",Sony Pictures Entertainment (SPE)
39,Alice in Wonderland,"$334,191,110","3,739","$116,101,023","3,728","Mar 5, 2010",Walt Disney Studios Motion Pictures
40,Guardians of the Galaxy,"$333,176,600","4,088","$94,320,883","4,080","Aug 1, 2014",Walt Disney Studios Motion Pictures
41,Batman v Superman: Dawn of Justice,"$330,360,194","4,256","$166,007,347","4,242","Mar 25, 2016",Warner Bros.
42,It,"$327,481,748","4,148","$123,403,419","4,103","Sep 8, 2017",Warner Bros.
43,Suicide Squad,"$325,100,054","4,255","$133,682,248","4,255","Aug 5, 2016",Warner Bros.
44,Shrek the Third,"$322,719,944","4,172","$121,629,270","4,122","May 18, 2007",DreamWorks
45,Iron Man,"$318,604,126","4,154","$98,618,668","4,105","May 2, 2008",Paramount Pictures
46,Deadpool 2,"$318,491,426","4,349","$125,507,153","4,349","May 18, 2018",Twentieth Century Fox
47,Harry Potter and the Sorcerer's Stone,"$317,575,550","3,672","$90,294,621","3,672","Nov 16, 2001",Warner Bros.
48,Thor: Ragnarok,"$315,058,289","4,080","$122,744,989","4,080","Nov 3, 2017",Walt Disney Studios Motion Pictures
49,The Lord of the Rings: The Fellowship of the Ring,"$313,364,114","3,381","$47,211,490","3,359","Dec 19, 2001",New Line Cinema
50,Iron Man 2,"$312,433,331","4,390","$128,122,480","4,380","May 7, 2010",Paramount Pictures
51,Star Wars: Episode IV - A New Hope,"$307,263,857","1,750","$1,554,475",43,"May 25, 1977",Twentieth Century Fox
52,The Hobbit: An Unexpected Journey,"$303,003,568","4,100","$84,617,303","4,045","Dec 14, 2012",Warner Bros.
53,Star Wars: Episode II - Attack of the Clones,"$302,191,252","3,161","$80,027,814","3,161","May 16, 2002",Twentieth Century Fox
54,Harry Potter and the Half-Blood Prince,"$301,959,197","4,455","$77,835,727","4,325","Jul 15, 2009",Warner Bros.
55,The Twilight Saga: Eclipse,"$300,531,751","4,468","$64,832,191","4,468","Jun 30, 2010",Summit Entertainment
56,The Twilight Saga: New Moon,"$296,623,634","4,124","$142,839,137","4,024","Nov 20, 2009",Summit Entertainment
57,Harry Potter and the Deathly Hallows: Part 1,"$295,983,305","4,125","$125,017,372","4,125","Nov 19, 2010",Warner Bros.
58,The Sixth Sense,"$293,506,292","2,821","$26,681,262","2,161","Aug 6, 1999",Walt Disney Studios Motion Pictures
59,The Twilight Saga: Breaking Dawn - Part 2,"$292,324,737","4,070","$141,067,634","4,070","Nov 16, 2012",Lionsgate
60,Harry Potter and the Order of the Phoenix,"$292,004,738","4,285","$77,108,414","4,285","Jul 11, 2007",Warner Bros.
61,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957","3,853","$65,556,312","3,616","Dec 9, 2005",Walt Disney Studios Motion Pictures
62,Man of Steel,"$291,045,518","4,207","$116,619,362","4,207","Jun 14, 2013",Warner Bros.
63,Harry Potter and the Goblet of Fire,"$290,013,036","3,858","$102,685,961","3,858","Nov 18, 2005",Warner Bros.
64,The Twilight Saga: Breaking Dawn - Part 1,"$281,287,133","4,066","$138,122,261","4,061","Nov 18, 2011",Summit Entertainment
65,Shrek,"$267,665,011","3,715","$42,347,760","3,587","May 16, 2001",DreamWorks Distribution
66,The Amazing Spider-Man,"$262,030,663","4,318","$62,004,688","4,318","Jul 3, 2012",Sony Pictures Entertainment (SPE)
67,Harry Potter and the Chamber of Secrets,"$261,988,482","3,682","$88,357,488","3,682","Nov 15, 2002",Warner Bros.
68,The Incredibles,"$261,441,092","3,933","$70,467,623","3,933","Nov 5, 2004",Walt Disney Studios Motion Pictures
69,Captain America: The Winter Soldier,"$259,766,572","3,938","$95,023,721","3,938","Apr 4, 2014",Walt Disney Studios Motion Pictures
70,The Hobbit: The Desolation of Smaug,"$258,366,855","3,928","$73,645,197","3,903","Dec 13, 2013",Warner Bros.
71,The Hobbit: The Battle of the Five Armies,"$255,119,788","3,875","$54,724,334","3,875","Dec 17, 2014",Warner Bros.
72,Star Wars: Episode VI - Return of the Jedi,"$252,583,617","1,764","$23,019,618","1,002","May 25, 1983",Twentieth Century Fox
73,Batman,"$251,188,924","2,201","$40,489,746","2,194","Jun 23, 1989",Warner Bros.
74,Night at the Museum,"$250,863,268","3,768","$30,433,781","3,685","Dec 22, 2006",Twentieth Century Fox
75,Harry Potter and the Prisoner of Azkaban,"$249,541,069","3,855","$93,687,367","3,855","Jun 4, 2004",Warner Bros.
