Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
1,Avengers: Endgame,"$858,373,000 ","4,662","$357,115,007 ","4,662",26-Apr-19,Walt Disney Studios Motion Pictures
2,Spider-Man: No Way Home,"$804,793,477 ","4,336","$260,138,569 ","4,336",17-Dec-21,Sony Pictures Entertainment (SPE)
3,Black Panther,"$700,059,566 ","4,084","$202,003,951 ","4,020",16-Feb-18,Walt Disney Studios Motion Pictures
4,Avengers: Infinity War,"$678,815,482 ","4,474","$257,698,183 ","4,474",27-Apr-18,Walt Disney Studios Motion Pictures
5,The Avengers,"$623,357,910 ","4,349","$207,438,708 ","4,349",4-May-12,Walt Disney Studios Motion Pictures
6,The Lion King,"$543,638,043 ","4,802","$191,770,759 ","4,725",19-Jul-19,Walt Disney Studios Motion Pictures
7,The Dark Knight,"$533,345,358 ","4,366","$158,411,483 ","4,366",18-Jul-08,Warner Bros.
8,Beauty and the Beast,"$504,014,165 ","4,210","$174,750,616 ","4,210",17-Mar-17,Walt Disney Studios Motion Pictures
9,Avengers: Age of Ultron,"$459,005,868 ","4,276","$191,271,109 ","4,276",1-May-15,Walt Disney Studios Motion Pictures
10,Black Panther: Wakanda Forever,"$453,251,600 ","4,396","$181,339,761 ","4,396",11-Nov-22,Walt Disney Studios Motion Pictures
11,The Dark Knight Rises,"$448,139,099 ","4,404","$160,887,295 ","4,404",20-Jul-12,Warner Bros.
12,Captain Marvel,"$426,829,839 ","4,310","$153,433,423 ","4,310",8-Mar-19,Walt Disney Studios Motion Pictures
13,The Hunger Games: Catching Fire,"$424,668,047 ","4,163","$158,074,286 ","4,163",22-Nov-13,Lionsgate
14,Wonder Woman,"$412,563,408 ","4,165","$103,251,471 ","4,165",2-Jun-17,Warner Bros.
15,Doctor Strange in the Multiverse of Madness,"$411,331,607 ","4,534","$187,420,998 ","4,534",6-May-22,Walt Disney Studios Motion Pictures
16,Iron Man 3,"$409,013,994 ","4,253","$174,144,585 ","4,253",3-May-13,Walt Disney Studios Motion Pictures
17,Captain America: Civil War,"$408,084,349 ","4,226","$179,139,142 ","4,226",6-May-16,Walt Disney Studios Motion Pictures
18,The Hunger Games,"$408,010,692 ","4,137","$152,535,747 ","4,137",23-Mar-12,Lionsgate
19,Spider-Man,"$403,706,375 ","3,876","$114,844,116 ","3,615",3-May-02,Sony Pictures Entertainment (SPE)
20,Transformers: Revenge of the Fallen,"$402,111,870 ","4,293","$108,966,307 ","4,234",24-Jun-09,DreamWorks
21,Spider-Man: Far from Home,"$390,532,085 ","4,634","$92,579,212 ","4,634",2-Jul-19,Sony Pictures Entertainment (SPE)
22,Guardians of the Galaxy Vol. 2,"$389,813,101 ","4,347","$146,510,104 ","4,347",5-May-17,Walt Disney Studios Motion Pictures
23,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219 ","4,375","$169,189,427 ","4,375",15-Jul-11,Warner Bros.
24,Spider-Man 2,"$373,585,825 ","4,166","$88,156,227 ","4,152",30-Jun-04,Sony Pictures Entertainment (SPE)
25,The Batman,"$369,345,583 ","4,417","$134,008,624 ","4,417",4-Mar-22,Warner Bros.
26,The Jungle Book,"$364,001,123 ","4,144","$103,261,464 ","4,028",15-Apr-16,Walt Disney Studios Motion Pictures
27,Deadpool,"$363,070,709 ","3,856","$132,434,639 ","3,558",12-Feb-16,Twentieth Century Fox
28,Jurassic Park,"$357,067,947 ","2,566","$47,026,828 ","2,404",11-Jun-93,Universal Pictures
29,Transformers: Dark of the Moon,"$352,390,543 ","4,088","$97,852,865 ","4,088",29-Jun-11,DreamWorks
30,Thor: Love and Thunder,"$343,256,830 ","4,375","$144,165,107 ","4,375",8-Jul-22,Walt Disney Studios Motion Pictures
31,The Hunger Games: Mockingjay - Part 1,"$337,135,885 ","4,151","$121,897,634 ","4,151",21-Nov-14,Lionsgate
32,Spider-Man 3,"$336,530,303 ","4,324","$151,116,516 ","4,252",4-May-07,Sony Pictures Entertainment (SPE)
33,Joker,"$335,451,311 ","4,374","$96,202,337 ","4,374",4-Oct-19,Warner Bros.
34,Aquaman,"$335,061,807 ","4,184","$67,873,522 ","4,125",21-Dec-18,Warner Bros.
35,Spider-Man: Homecoming,"$334,201,140 ","4,348","$117,027,503 ","4,348",7-Jul-17,Sony Pictures Entertainment (SPE)
36,Alice in Wonderland,"$334,191,110 ","3,739","$116,101,023 ","3,728",5-Mar-10,Walt Disney Studios Motion Pictures
37,Guardians of the Galaxy,"$333,176,600 ","4,088","$94,320,883 ","4,080",1-Aug-14,Walt Disney Studios Motion Pictures
38,Batman v Superman: Dawn of Justice,"$330,360,194 ","4,256","$166,007,347 ","4,242",25-Mar-16,Warner Bros.
39,Suicide Squad,"$325,100,054 ","4,255","$133,682,248 ","4,255",5-Aug-16,Warner Bros.
40,Transformers,"$319,246,193 ","4,050","$70,502,384 ","4,011",3-Jul-07,DreamWorks
41,Iron Man,"$318,604,126 ","4,154","$98,618,668 ","4,105",2-May-08,Paramount Pictures
42,Deadpool 2,"$318,491,426 ","4,349","$125,507,153 ","4,349",18-May-18,Twentieth Century Fox
43,Harry Potter and the Sorcerer's Stone,"$317,575,550 ","3,672","$90,294,621 ","3,672",16-Nov-01,Warner Bros.
44,Thor: Ragnarok,"$315,058,289 ","4,080","$122,744,989 ","4,080",3-Nov-17,Walt Disney Studios Motion Pictures
45,Iron Man 2,"$312,433,331 ","4,390","$128,122,480 ","4,380",7-May-10,Paramount Pictures
46,Harry Potter and the Half-Blood Prince,"$301,959,197 ","4,455","$77,835,727 ","4,325",15-Jul-09,Warner Bros.
47,The Twilight Saga: Eclipse,"$300,531,751 ","4,468","$64,832,191 ","4,468",30-Jun-10,Summit Entertainment
48,The Twilight Saga: New Moon,"$296,623,634 ","4,124","$142,839,137 ","4,024",20-Nov-09,Summit Entertainment
49,Harry Potter and the Deathly Hallows: Part 1,"$295,983,305 ","4,125","$125,017,372 ","4,125",19-Nov-10,Warner Bros.
50,The Twilight Saga: Breaking Dawn - Part 2,"$292,324,737 ","4,070","$141,067,634 ","4,070",16-Nov-12,Lionsgate
51,Harry Potter and the Order of the Phoenix,"$292,004,738 ","4,285","$77,108,414 ","4,285",11-Jul-07,Warner Bros.
52,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957 ","3,853","$65,556,312 ","3,616",9-Dec-05,Walt Disney Studios Motion Pictures
53,Man of Steel,"$291,045,518 ","4,207","$116,619,362 ","4,207",14-Jun-13,Warner Bros.
54,Harry Potter and the Goblet of Fire,"$290,013,036 ","3,858","$102,685,961 ","3,858",18-Nov-05,Warner Bros.
55,The Hunger Games: Mockingjay - Part 2,"$281,723,902 ","4,175","$102,665,981 ","4,175",20-Nov-15,Lionsgate
56,The Twilight Saga: Breaking Dawn - Part 1,"$281,287,133 ","4,066","$138,122,261 ","4,061",18-Nov-11,Summit Entertainment
57,The Grinch,"$270,620,950 ","4,141","$67,572,855 ","4,141",9-Nov-18,Universal Pictures
58,Shrek,"$267,665,011 ","3,715","$42,347,760 ","3,587",16-May-01,DreamWorks Distribution
59,The Amazing Spider-Man,"$262,030,663 ","4,318","$62,004,688 ","4,318",3-Jul-12,Sony Pictures Entertainment (SPE)
60,Harry Potter and the Chamber of Secrets,"$261,988,482 ","3,682","$88,357,488 ","3,682",15-Nov-02,Warner Bros.
61,How the Grinch Stole Christmas,"$260,044,825 ","3,256","$55,082,330 ","3,127",17-Nov-00,Universal Pictures
62,Captain America: The Winter Soldier,"$259,766,572 ","3,938","$95,023,721 ","3,938",4-Apr-14,Walt Disney Studios Motion Pictures
63,Star Trek,"$257,730,019 ","4,053","$75,204,289 ","3,849",8-May-09,Paramount Pictures
64,I Am Legend,"$256,393,010 ","3,648","$77,211,321 ","3,606",14-Dec-07,Warner Bros.
65,Batman,"$251,188,924 ","2,201","$40,489,746 ","2,194",23-Jun-89,Warner Bros.
66,Night at the Museum,"$250,863,268 ","3,768","$30,433,781 ","3,685",22-Dec-06,Twentieth Century Fox
67,Men in Black,"$250,690,539 ","3,180","$51,068,455 ","3,020",2-Jul-97,Sony Pictures Entertainment (SPE)
68,Harry Potter and the Prisoner of Azkaban,"$249,541,069 ","3,855","$93,687,367 ","3,855",4-Jun-04,Warner Bros.
69,Transformers: Age of Extinction,"$245,439,076 ","4,233","$100,038,390 ","4,233",27-Jun-14,Paramount Pictures
70,X-Men: The Last Stand,"$234,362,462 ","3,714","$102,750,665 ","3,690",26-May-06,Twentieth Century Fox
71,War of the Worlds,"$234,280,354 ","3,910","$64,878,725 ","3,908",29-Jun-05,Paramount Pictures
72,X-Men: Days of Future Past,"$233,921,534 ","4,001","$90,823,660 ","3,996",23-May-14,Twentieth Century Fox
73,Doctor Strange,"$232,641,920 ","3,882","$85,058,311 ","3,882",4-Nov-16,Walt Disney Studios Motion Pictures
74,The Lost World: Jurassic Park,"$229,086,679 ","3,565","$72,132,785 ","3,281",23-May-97,Universal Pictures
75,Justice League,"$229,024,295 ","4,051","$93,842,239 ","4,051",17-Nov-17,Warner Bros.
76,Star Trek Into Darkness,"$228,778,661 ","3,907","$70,165,559 ","3,868",16-May-13,Paramount Pictures
77,The Martian,"$228,433,663 ","3,854","$54,308,575 ","3,831",2-Oct-15,Twentieth Century Fox
78,Logan,"$226,277,068 ","4,071","$88,411,916 ","4,071",3-Mar-17,Twentieth Century Fox
79,Shang-Chi and the Legend of the Ten Rings,"$224,543,292 ","4,300","$75,388,688 ","4,300",3-Sep-21,Walt Disney Studios Motion Pictures
80,Big Hero 6,"$222,527,828 ","3,773","$56,215,889 ","3,761",7-Nov-14,Walt Disney Studios Motion Pictures
