Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
81,Mission: Impossible - Fallout,"$220,159,104 ","4,395","$61,236,534 ","4,386",27-Jul-18,Paramount Pictures
82,Alvin and the Chipmunks: The Squeakquel,"$219,614,612 ","3,747","$48,875,415 ","3,700",23-Dec-09,Twentieth Century Fox
83,King Kong,"$218,080,025 ","3,627","$50,130,145 ","3,568",14-Dec-05,Universal Pictures
84,How to Train Your Dragon,"$217,581,231 ","4,060","$43,732,319 ","4,055",26-Mar-10,DreamWorks
85,The Da Vinci Code,"$217,536,138 ","3,757","$77,073,388 ","3,735",19-May-06,Sony Pictures Entertainment (SPE)
86,Alvin and the Chipmunks,"$217,326,974 ","3,499","$44,307,417 ","3,475",14-Dec-07,Twentieth Century Fox
87,Ant-Man and the Wasp,"$216,648,740 ","4,206","$75,812,205 ","4,206",6-Jul-18,Walt Disney Studios Motion Pictures
88,Mission: Impossible II,"$215,409,889 ","3,669","$57,845,297 ","3,653",24-May-00,Paramount Pictures
89,X2: X-Men United,"$214,949,694 ","3,749","$85,558,731 ","3,741",2-May-03,Twentieth Century Fox
90,The Lorax,"$214,030,500 ","3,769","$70,217,070 ","3,729",2-Mar-12,Universal Pictures
91,Venom,"$213,515,506 ","4,250","$80,255,756 ","4,250",5-Oct-18,Sony Pictures Entertainment (SPE)
92,300,"$210,614,939 ","3,280","$70,885,301 ","3,103",9-Mar-07,Warner Bros.
93,Mission: Impossible - Ghost Protocol,"$209,397,903 ","3,555","$12,785,204 ",425,16-Dec-11,Paramount Pictures
94,Charlie and the Chocolate Factory,"$206,459,076 ","3,790","$56,178,450 ","3,770",15-Jul-05,Warner Bros.
95,Thor: The Dark World,"$206,362,140 ","3,841","$85,737,841 ","3,841",8-Nov-13,Walt Disney Studios Motion Pictures
96,Batman Begins,"$205,343,774 ","3,858","$48,745,440 ","3,858",15-Jun-05,Warner Bros.
97,The Amazing Spider-Man 2,"$202,853,933 ","4,324","$91,608,337 ","4,324",2-May-14,Sony Pictures Entertainment (SPE)
98,The Mummy Returns,"$202,019,785 ","3,553","$68,139,035 ","3,401",4-May-01,Universal Pictures
99,Godzilla,"$200,676,069 ","3,952","$93,188,384 ","3,952",16-May-14,Warner Bros.
100,Superman Returns,"$200,081,192 ","4,065","$52,535,096 ","4,065",28-Jun-06,Warner Bros.
