Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
1,Incredibles 2,"$608,581,744","4,410","$182,687,905","4,410","Jun 15, 2018",Walt Disney Studios Motion Pictures
2,The Lion King,"$543,638,043","4,802","$191,770,759","4,725","Jul 19, 2019",Walt Disney Studios Motion Pictures
3,Finding Dory,"$486,295,561","4,305","$135,060,273","4,305","Jun 17, 2016",Walt Disney Studios Motion Pictures
4,Frozen II,"$477,373,578","4,440","$130,263,358","4,440","Nov 22, 2019",Walt Disney Studios Motion Pictures
5,Shrek 2,"$441,226,247","4,223","$108,037,878","4,163","May 19, 2004",DreamWorks Distribution
6,Toy Story 4,"$434,038,008","4,575","$120,908,065","4,575","Jun 21, 2019",Walt Disney Studios Motion Pictures
7,Toy Story 3,"$415,004,880","4,028","$110,307,189","4,028","Jun 18, 2010",Walt Disney Studios Motion Pictures
8,Frozen,"$400,738,009","3,742","$243,390",1,"Nov 22, 2013",Walt Disney Studios Motion Pictures
9,Minions: The Rise of Gru,"$369,695,210","4,427","$107,010,140","4,391","Jul 1, 2022",Universal Pictures
10,The Secret Life of Pets,"$368,384,330","4,381","$104,352,905","4,370","Jul 8, 2016",Universal Pictures
11,Despicable Me 2,"$368,065,385","4,003","$83,517,315","3,997","Jul 3, 2013",Universal Pictures
12,Inside Out,"$356,461,711","4,158","$90,440,272","3,946","Jun 19, 2015",Walt Disney Studios Motion Pictures
13,Zootopia,"$341,268,248","3,959","$75,063,401","3,827","Mar 4, 2016",Walt Disney Studios Motion Pictures
14,Finding Nemo,"$339,714,978","3,425","$70,251,710","3,374","May 30, 2003",Walt Disney Studios Motion Pictures
15,Minions,"$336,045,770","4,311","$115,718,405","4,301","Jul 10, 2015",Universal Pictures
16,Shrek the Third,"$322,719,944","4,172","$121,629,270","4,122","May 18, 2007",DreamWorks
17,The Lion King,"$312,855,561","2,624","$1,586,753",2,"Jun 15, 1994",Walt Disney Studios Motion Pictures
18,Up,"$293,004,164","3,886","$68,108,790","3,766","May 29, 2009",Walt Disney Studios Motion Pictures
19,The Grinch,"$270,620,950","4,141","$67,572,855","4,141","Nov 9, 2018",Universal Pictures
20,Sing,"$270,395,425","4,029","$35,258,145","4,022","Dec 21, 2016",Universal Pictures
21,Monsters University,"$268,492,764","4,004","$82,429,469","4,004","Jun 21, 2013",Walt Disney Studios Motion Pictures
22,Shrek,"$267,665,011","3,715","$42,347,760","3,587","May 16, 2001",DreamWorks Distribution
23,Despicable Me 3,"$264,624,300","4,535","$72,434,025","4,529","Jun 30, 2017",Universal Pictures
24,The Incredibles,"$261,441,092","3,933","$70,467,623","3,933","Nov 5, 2004",Walt Disney Studios Motion Pictures
25,The Lego Movie,"$257,760,692","3,890","$69,050,279","3,775","Feb 7, 2014",Warner Bros.
26,"Monsters, Inc.","$255,873,250","3,649","$62,577,067","3,237","Nov 2, 2001",Walt Disney Studios Motion Pictures
27,Despicable Me,"$251,513,985","3,602","$56,397,125","3,476","Jul 9, 2010",Universal Pictures
28,Moana,"$248,757,044","3,875","$56,631,401","3,875","Nov 23, 2016",Walt Disney Studios Motion Pictures
29,Toy Story 2,"$245,852,179","3,257","$300,163",1,"Nov 19, 1999",Walt Disney Studios Motion Pictures
30,Cars,"$244,082,982","3,988","$60,119,509","3,985","Jun 9, 2006",Walt Disney Studios Motion Pictures
31,Shrek Forever After,"$238,736,787","4,386","$70,838,207","4,359","May 21, 2010",DreamWorks
32,Brave,"$237,283,207","4,164","$66,323,594","4,164","Jun 22, 2012",Walt Disney Studios Motion Pictures
33,WALL·E,"$223,808,164","3,992","$63,087,526","3,992","Jun 27, 2008",Walt Disney Studios Motion Pictures
34,Big Hero 6,"$222,527,828","3,773","$56,215,889","3,761","Nov 7, 2014",Walt Disney Studios Motion Pictures
35,How to Train Your Dragon,"$217,581,231","4,060","$43,732,319","4,055","Mar 26, 2010",DreamWorks
36,Aladdin,"$217,350,219","2,331","$196,664",2,"Nov 13, 1992",Walt Disney Studios Motion Pictures
37,Madagascar 3: Europe's Most Wanted,"$216,391,482","4,263","$60,316,738","4,258","Jun 8, 2012",DreamWorks
38,Kung Fu Panda,"$215,434,591","4,136","$60,239,130","4,114","Jun 6, 2008",DreamWorks
39,The Lorax,"$214,030,500","3,769","$70,217,070","3,729","Mar 2, 2012",Universal Pictures
40,Coco,"$210,460,015","3,987","$50,802,605","3,987","Nov 22, 2017",Walt Disney Studios Motion Pictures
41,Ratatouille,"$206,445,654","3,940","$47,027,395","3,940","Jun 29, 2007",Walt Disney Studios Motion Pictures
