Rank,Title,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
42,Ralph Breaks the Internet,"$201,091,711","4,017","$56,237,634","4,017","Nov 21, 2018",Walt Disney Studios Motion Pictures
43,Tangled,"$200,821,936","3,603","$48,767,052","3,603","Nov 24, 2010",Walt Disney Studios Motion Pictures
44,Monsters vs. Aliens,"$198,351,526","4,136","$59,321,095","4,104","Mar 27, 2009",DreamWorks
45,Happy Feet,"$198,000,317","3,804","$41,533,432","3,804","Nov 17, 2006",Warner Bros.
46,Ice Age: Dawn of the Dinosaurs,"$196,573,705","4,102","$41,690,382","4,099","Jul 1, 2009",Twentieth Century Fox
47,Ice Age: The Meltdown,"$195,330,621","3,969","$68,033,544","3,964","Mar 31, 2006",Twentieth Century Fox
48,Madagascar,"$193,595,521","4,142","$47,224,594","4,131","May 27, 2005",DreamWorks Distribution
49,Toy Story,"$191,796,233","2,574","$29,140,617","2,457","Nov 22, 1995",Walt Disney Studios Motion Pictures
50,Cars 2,"$191,452,396","4,115","$66,135,507","4,115","Jun 24, 2011",Walt Disney Studios Motion Pictures
51,Spider-Man: Into the Spider-Verse,"$190,241,310","3,813","$35,363,376","3,813","Dec 14, 2018",Sony Pictures Entertainment (SPE)
52,Wreck-It Ralph,"$189,422,889","3,752","$49,038,712","3,752","Nov 2, 2012",Walt Disney Studios Motion Pictures
53,The Croods,"$187,168,425","4,065","$43,639,736","4,046","Mar 22, 2013",Twentieth Century Fox
54,The Simpsons Movie,"$183,135,014","3,926","$74,036,787","3,922","Jul 27, 2007",Twentieth Century Fox
55,Madagascar: Escape 2 Africa,"$180,010,950","4,065","$63,106,589","4,056","Nov 7, 2008",DreamWorks
56,Home,"$177,397,510","3,801","$52,107,731","3,708","Mar 27, 2015",Twentieth Century Fox
57,How to Train Your Dragon 2,"$177,002,924","4,268","$49,451,322","4,253","Jun 13, 2014",Twentieth Century Fox
58,Ice Age,"$176,387,405","3,345","$46,312,454","3,316","Mar 15, 2002",Twentieth Century Fox
59,The Lego Batman Movie,"$175,750,384","4,088","$53,003,468","4,088","Feb 10, 2017",Warner Bros.
60,The Boss Baby,"$175,003,033","3,829","$50,198,902","3,773","Mar 31, 2017",Twentieth Century Fox
61,Tarzan,"$171,091,819","3,131","$34,221,968","3,005","Jun 16, 1999",Walt Disney Studios Motion Pictures
62,Hotel Transylvania 2,"$169,700,110","3,768","$48,464,322","3,754","Sep 25, 2015",Sony Pictures Entertainment (SPE)
63,Hotel Transylvania 3: Summer Vacation,"$167,510,016","4,267","$44,076,225","4,267","Jul 13, 2018",Sony Pictures Entertainment (SPE)
64,Kung Fu Panda 2,"$165,249,063","3,952","$47,656,302","3,925","May 26, 2011",DreamWorks
65,The SpongeBob Movie: Sponge Out of Water,"$162,994,032","3,680","$55,365,012","3,641","Feb 6, 2015",Paramount Pictures
66,A Bug's Life,"$162,798,565","2,773","$291,121",1,"Nov 20, 1998",Walt Disney Studios Motion Pictures
67,Sing 2,"$162,790,990","3,892","$22,326,230","3,892","Dec 22, 2021",Universal Pictures
68,The Polar Express,"$162,775,358","3,650","$23,323,463","3,650","Nov 10, 2004",Warner Bros.
69,Ice Age: Continental Drift,"$161,321,843","3,886","$46,629,259","3,881","Jul 13, 2012",Twentieth Century Fox
70,Shark Tale,"$160,861,908","4,070","$47,604,606","4,016","Oct 1, 2004",DreamWorks Distribution
71,How to Train Your Dragon: The Hidden World,"$160,799,505","4,286","$55,022,245","4,259","Feb 22, 2019",Universal Pictures
72,The Secret Life of Pets 2,"$158,874,395","4,564","$46,652,680","4,561","Jun 7, 2019",Universal Pictures
73,Who Framed Roger Rabbit,"$156,452,370","1,598","$11,226,239","1,045","Jun 24, 1988",Walt Disney Studios Motion Pictures
74,Over the Hedge,"$155,019,340","4,093","$38,457,003","4,059","May 19, 2006",DreamWorks
75,Horton Hears a Who!,"$154,529,439","3,961","$45,012,998","3,954","Mar 14, 2008",Twentieth Century Fox
76,Trolls,"$153,707,064","4,066","$46,581,142","4,060","Nov 4, 2016",Twentieth Century Fox
77,Cars 3,"$152,901,115","4,256","$53,688,680","4,256","Jun 16, 2017",Walt Disney Studios Motion Pictures
78,Puss in Boots,"$149,260,504","3,963","$34,077,439","3,952","Oct 28, 2011",DreamWorks
79,Sonic the Hedgehog,"$148,974,665","4,198","$58,018,348","4,167","Feb 14, 2020",Paramount Pictures
80,Megamind,"$148,415,853","3,949","$46,016,833","3,944","Nov 5, 2010",DreamWorks
81,Hotel Transylvania,"$148,313,048","3,375","$42,522,194","3,349","Sep 28, 2012",Sony Pictures Entertainment (SPE)
82,Beauty and the Beast,"$145,863,363","1,960","$162,146",2,"Nov 15, 1991",Walt Disney Studios Motion Pictures
83,Lilo & Stitch,"$145,794,338","3,222","$35,260,212","3,191","Jun 21, 2002",Walt Disney Studios Motion Pictures
84,Rio,"$143,619,809","3,842","$39,225,962","3,826","Apr 15, 2011",Twentieth Century Fox
85,Kung Fu Panda 3,"$143,528,619","3,987","$41,282,042","3,955","Jan 29, 2016",Twentieth Century Fox
86,Puss in Boots: The Last Wish,"$143,342,670","4,121","$12,429,515","4,099","Dec 21, 2022",Universal Pictures
87,Pocahontas,"$141,579,773","2,757","$2,689,714",6,"Jun 16, 1995",Walt Disney Studios Motion Pictures
88,A Christmas Carol,"$137,855,863","3,683","$30,051,075","3,683","Nov 6, 2009",Walt Disney Studios Motion Pictures
89,Dinosaur,"$137,748,063","3,319","$38,854,851","3,257","May 19, 2000",Walt Disney Studios Motion Pictures
90,Chicken Little,"$135,386,665","3,658","$40,049,778","3,654","Nov 4, 2005",Walt Disney Studios Motion Pictures
91,Rio 2,"$131,538,435","3,975","$39,327,869","3,948","Apr 11, 2014",Twentieth Century Fox
92,The Peanuts Movie,"$130,178,411","3,902","$44,213,073","3,897","Nov 6, 2015",Twentieth Century Fox
93,Robots,"$128,200,012","3,776","$36,045,301","3,776","Mar 11, 2005",Twentieth Century Fox
94,Bee Movie,"$126,631,277","3,984","$38,021,044","3,928","Nov 2, 2007",DreamWorks
95,Cloudy with a Chance of Meatballs,"$124,870,275","3,119","$30,304,648","3,119","Sep 18, 2009",Sony Pictures Entertainment (SPE)
96,Rango,"$123,477,607","3,923","$38,079,323","3,917","Mar 4, 2011",Paramount Pictures
97,The Good Dinosaur,"$123,087,120","3,749","$39,155,217","3,749","Nov 25, 2015",Walt Disney Studios Motion Pictures
98,Mulan,"$120,620,254","2,953","$22,745,143","2,888","Jun 19, 1998",Walt Disney Studios Motion Pictures
99,Cloudy with a Chance of Meatballs 2,"$119,793,567","4,001","$34,017,930","4,001","Sep 27, 2013",Sony Pictures Entertainment (SPE)
100,G-Force,"$119,436,770","3,697","$31,706,934","3,697","Jul 24, 2009",Walt Disney Studios Motion Pictures
